house_area,house_fitmend,house_located,house_name,house_room,house_towards,total_price,unit_price
58,简装,南沙滩,南沙滩小区 ,2室1厅,南 北,399,67765
61,简装,马家堡,马家堡西里 ,2室1厅,东 西,318,51708
134,精装,四惠,远洋天地一期 ,3室2厅,东 西,1050,77969
61,精装,管庄,北京新天地 ,1室1厅,北,357,57917
51,精装,永定门,富莱茵花园 ,1室1厅,西南,346,66603
58,简装,二里庄,科技大学 ,2室1厅,南,550,94518
56,简装,国展,柳芳南里 ,2室1厅,东 南,410,72993
93,简装,武夷花园,运河园 ,2室1厅,南 北,469.5,49995
60,精装,东大桥,核桃园北里 ,2室1厅,南 北,495,81670
95,精装,梨园,新通国际花园 ,2室1厅,西南,439,46162
57,精装,看丹桥,韩庄子四里 ,2室1厅,南 北,300,52457
71,简装,惠新西街,惠新里小区 ,3室1厅,西南,565,78495
95,精装,大望路,风度柏林 ,2室1厅,东,760,79950
47,其他,双桥,东柳西里 ,2室1厅,南 北,240,50262
83,简装,六里桥,金家村288号院 ,2室1厅,南 北,499,59583
55,简装,清河,宝盛里 ,1室1厅,南,375,67568
58,简装,刘家窑,石榴园北里小区 ,2室1厅,东 西,306,52551
51,简装,健翔桥,华严北里小区 ,2室1厅,东,379,74198
70,精装,北七家,名佳花园三区 ,1室1厅,南 西 北,303,42689
102,精装,观音寺,观音寺南里 ,3室2厅,南 北,378,36943
52,简装,草桥,风景club ,1室1厅,东北,381,71969
77,简装,北京南站,开阳里四区 ,2室1厅,东 西,480,62193
59,精装,大兴其它,鹿海园三里 ,1室1厅,南 北,288,48641
75,简装,黄村中,三合南里 ,2室1厅,南 北,316,41999
60,精装,皂君庙,皂君庙丙4号院 ,2室1厅,南 北,510,84662
96,精装,临河里,瑞都公园世家南区 ,2室2厅,南 北,549,56927
97,简装,回龙观,天露园二区 ,2室1厅,南 北,399,40748
93,精装,天通苑,天通西苑二区 ,2室1厅,西南,380,40612
101,精装,回龙观,流星花园三区 ,2室1厅,南 北,475,46951
87,精装,十里堡,京棉新城 ,2室1厅,南 北,600,68229
64,简装,良乡,四合巷小区 ,2室1厅,南 北,195,30140
74,简装,牡丹园,邮科社区 ,2室1厅,南,700,93872
89,精装,临河里,金隅七零九零 ,2室1厅,南 北,399,44752
56,简装,鼓楼大街,南环里 ,2室1厅,南,231,41060
126,精装,和平里,和平新城一期 ,2室1厅,西北,1150,90996
60,精装,七里庄,北大街北里 ,2室1厅,南 北,342,56802
52,简装,劲松,劲松二区 ,2室1厅,南,315,59671
88,毛坯,长阳,原香小镇一区 ,3室1厅,南 北,380,42774
121,精装,长阳,原香小镇一区 ,3室2厅,南 北,470,38731
126,精装,玉泉营,万年花城二期 ,3室1厅,南,750,59228
50,简装,阜成门,百万庄南街 ,2室1厅,东,520,102767
74,精装,二里庄,志新村 ,3室1厅,东南,670,89573
69,精装,回龙观,矩阵二期 ,1室1厅,南,415,60076
49,其他,安贞,小黄庄前街13号院 ,1室1厅,南,353,71836
109,精装,五棵松,今日家园 ,2室1厅,西,699,63912
62,精装,九棵树(家乐福),翠屏里 ,2室1厅,南 北,290,46312
58,简装,崇文门,国瑞城中区 ,1室1厅,南,526.9,90000
75,其他,宋家庄,宋庄路甲12号院 ,2室1厅,东 西,370,49268
65,精装,黄村北,郁花园二里 ,1室1厅,南 北,320,49193
76,精装,草桥,草桥物业小区 ,2室1厅,西北,410,53532
78,其他,苹果园,金顶街四区 ,2室1厅,南,378,48178
92,简装,苹果园,海特花园小区 ,2室1厅,西南 北,370,39803
91,精装,青塔,万科紫苑 ,3室1厅,南 北,665,72973
69,精装,双井,苹果社区南区 ,2室1厅,北,510,73647
93,精装,广安门,丽水莲花 ,2室1厅,东 南,910,97067
61,精装,小西天,文慧园路21号 ,2室1厅,东,435,70963
75,其他,马家堡,星河城西区 ,2室1厅,东 西北,508,67653
50,简装,金融街,京畿道 ,2室1厅,东,783,156288
67,简装,甜水园,秀水园 ,2室1厅,南 北,460,67747
